File_name,File_path,LOC,LLOC,SLOC,Halstead_Volume,CC,h,N,calculated_length,Buggy
cycle_detection.py,C:\dataset\algorithms-master\graph\cycle_detection.py,52,27,35,27,8,8,9,17.509775,N
find_all_cliques.py,C:\dataset\algorithms-master\graph\find_all_cliques.py,35,25,25,31.69925001,1,9,10,20.26466251,N
find_path.py,C:\dataset\algorithms-master\graph\find_path.py,53,42,46,240,17,32,48,135.7478892,N
graph.py,C:\dataset\algorithms-master\graph\graph.py,3,3,3,0,1,0,0,0,N
markov_chain.py,C:\dataset\algorithms-master\graph\markov_chain.py,26,18,22,13.93156857,4,5,6,6.754887502,Y
minimum_spanning_tree.py,C:\dataset\algorithms-master\graph\minimum_spanning_tree.py,130,49,48,191.3687332,11,30,39,125.548875,Y
satisfiability.py,C:\dataset\algorithms-master\graph\satisfiability.py,125,72,72,157.8911105,28,25,34,98.04820237,N
traversal.py,C:\dataset\algorithms-master\graph\traversal.py,66,30,34,62.26976914,12,11,18,30.52932501,N
merge_sorted_k_lists.py,C:\dataset\algorithms-master\heap\merge_sorted_k_lists.py,63,28,26,15.509775,9,6,6,10,N
skyline.py,C:\dataset\algorithms-master\heap\skyline.py,66,20,20,351.2472543,13,40,66,182.1094106,N
sliding_window_max.py,C:\dataset\algorithms-master\heap\sliding_window_max.py,41,15,15,11.60964047,4,5,5,6.754887502,N
add_two_numbers.py,C:\dataset\algorithms-master\linkedlist\add_two_numbers.py,53,33,33,91.37651813,8,14,24,40.13896549,N
delete_node.py,C:\dataset\algorithms-master\linkedlist\delete_node.py,13,3,3,0,1,0,0,0,N
first_cyclic_node.py,C:\dataset\algorithms-master\linkedlist\first_cyclic_node.py,8,2,2,0,1,0,0,0,N
is_cyclic.py,C:\dataset\algorithms-master\linkedlist\is_cyclic.py,23,11,11,22.45883938,5,7,8,12.7548875,N
is_palindrome.py,C:\dataset\algorithms-master\linkedlist\is_palindrome.py,48,36,36,82.04470251,14,15,21,46.05374781,N
kth_to_last.py,C:\dataset\algorithms-master\linkedlist\kth_to_last.py,44,28,28,20.89735285,2,5,9,8,N
linkedlist.py,C:\dataset\algorithms-master\linkedlist\linkedlist.py,24,9,9,0,1,0,0,0,N
remove_duplicates.py,C:\dataset\algorithms-master\linkedlist\remove_duplicates.py,67,50,50,49.82892142,7,10,15,24.40637196,N
reverse.py,C:\dataset\algorithms-master\linkedlist\reverse.py,41,18,18,59.20703549,6,13,16,37.97416845,N
rotate_list.py,C:\dataset\algorithms-master\linkedlist\rotate_list.py,39,15,15,57.35940001,5,12,16,31.26112493,N
swap_in_pairs.py,C:\dataset\algorithms-master\linkedlist\swap_in_pairs.py,45,26,26,22.45883938,6,7,8,12.7548875,N
hashtable.py,C:\dataset\algorithms-master\map\hashtable.py,200,141,141,543.9954707,22,66,90,356.028532,N
longest_common_subsequence.py,C:\dataset\algorithms-master\map\longest_common_subsequence.py,28,21,19,167.3717924,8,23,37,83.65148445,N
randomized_set.py,C:\dataset\algorithms-master\map\randomized_set.py,53,35,35,68,4,16,17,49.66338828,Y
valid_sudoku.py,C:\dataset\algorithms-master\map\valid_sudoku.py,14,7,7,55.50659577,4,13,15,36.52932501,N
extended_gcd.py,C:\dataset\algorithms-master\math\extended_gcd.py,20,10,10,93.76537429,2,15,24,46.05374781,N
gcd.py,C:\dataset\algorithms-master\math\gcd.py,13,7,7,41.51317942,3,11,12,27.65148445,N
generate_strobogrammtic.py,C:\dataset\algorithms-master\math\generate_strobogrammtic.py,72,46,46,648,15,64,108,352.1262153,N
is_strobogrammatic.py,C:\dataset\algorithms-master\math\is_strobogrammatic.py,26,11,11,74.00879436,3,13,20,35.60964047,N
nth_digit.py,C:\dataset\algorithms-master\math\nth_digit.py,20,12,12,147.1486623,2,17,36,53.56352281,N
primes_sieve_of_eratosthenes.py,C:\dataset\algorithms-master\math\primes_sieve_of_eratosthenes.py,40,14,14,122.6238852,8,17,30,52.8707654,Y
prime_test.py,C:\dataset\algorithms-master\math\prime_test.py,18,13,13,250.7682342,9,25,54,96.22039776,N
pythagoras.py,C:\dataset\algorithms-master\math\pythagoras.py,16,12,12,256.7639251,5,27,54,112.041925,N
rabin_miller.py,C:\dataset\algorithms-master\math\rabin_miller.py,45,24,24,189.9896022,4,23,42,84.99664331,Y
rsa.py,C:\dataset\algorithms-master\math\rsa.py,80,27,27,233.8330875,7,24,51,90.56842503,Y
sqrt_precision_factor.py,C:\dataset\algorithms-master\math\sqrt_precision_factor.py,17,5,5,79.95445336,2,14,21,40.13896549,N
bomb_enemy.py,C:\dataset\algorithms-master\matrix\bomb_enemy.py,62,32,35,396.5323376,15,48,71,234.6600115,N
copy_transform.py,C:\dataset\algorithms-master\matrix\copy_transform.py,62,52,56,4.754887502,15,3,3,2,N
rotate_image.py,C:\dataset\algorithms-master\matrix\rotate_image.py,32,12,14,11.60964047,5,5,5,6.754887502,N
search_in_sorted_matrix.py,C:\dataset\algorithms-master\matrix\search_in_sorted_matrix.py,35,18,23,176.4189163,6,23,39,83.65148445,N
sparse_dot_vector.py,C:\dataset\algorithms-master\matrix\sparse_dot_vector.py,12,0,0,0,1,0,0,0,N
sparse_mul.py,C:\dataset\algorithms-master\matrix\sparse_mul.py,99,61,53,330.6194333,40,38,63,175.509775,N
spiral_traversal.py,C:\dataset\algorithms-master\matrix\spiral_traversal.py,52,27,29,233.6360132,11,19,55,63.61549134,N
max_sliding_window.py,C:\dataset\algorithms-master\queue\max_sliding_window.py,34,15,15,133.7829486,6,22,30,78.25484339,N
moving_average.py,C:\dataset\algorithms-master\queue\moving_average.py,29,14,14,192.568425,6,24,42,96.99355338,Y
queue.py,C:\dataset\algorithms-master\queue\queue.py,118,84,83,299.8556501,12,36,58,158.6059378,N
reconstruct_queue.py,C:\dataset\algorithms-master\queue\reconstruct_queue.py,29,7,6,2,2,2,2,0,N
